20.67	41.76	32.37
10.16	19.45	12.87
56.61	111.36	83.26
22.75	46.64	37.09
15.5	30.2	23.08
12.52	24.92	19.11
23.19	45.24	33.16
6.46	11.9	7.71
15.04	28.1	21.29
6.35	11.24	8.03
16.17	31.09	22.6
10.18	19.92	14.94
5.38	11.02	7.63
8.84	18.51	14.53
25.36	51.97	41.75
24.29	47.13	36.17
8.59	15.76	11.08
6.17	10.2	6.9
24.85	47.24	35.06
15.25	31.25	24.37
12.54	25.38	18.97
8.96	17	11.93
6.57	12.08	7.88
3.82	6.99	4.57
7.24	15.46	11.12
9.86	18.1	12.42
2.42	4.33	2.68
32.99	65.46	48.43
44.45	84.08	60.94
11.5	24.53	18.5
16.54	33.38	24.98
34.39	71.3	56.73
40.55	90.04	70.86
23.21	54.87	50.21
15	32.72	27.5
21.86	42.91	32.63
19.92	44.12	38.84
14.6	29.26	23.07
17.45	34.52	26.13
15.77	32.7	26.24
13.79	27.08	20.55
38.67	68.98	47.48
18.89	35.47	26.6
27.02	56.64	46.83
3.32	6.1	4.2
8.19	14.7	10.93
41.24	77.05	55.56
16.3	31.35	22.4
18.03	32.26	22.58
18.66	33.9	22.47
6.28	10.73	7.36
8.28	14.5	9.18
6.22	12.25	9.22
26.93	57.87	49.81
9.89	18.6	12.24
23.26	51.91	44.97
15.49	37	33.89
18.73	40.46	33.97
58.21	106.14	74.55
17.7	37.89	29.11
33.1	72.73	62.33
20.34	35.38	23.58
23.25	50.82	42.96
10.7	19.92	12.79
56.09	127.11	115.6
13.19	28.27	23.36
40.72	85.67	72.09
